seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2200, North, 4C, 4C, true, 4, 0
2201, North, 3C, 3C, true, 4, 0
2202, North, 3C, 3C, true, 3, 0
2203, North, 6C, 6C, true, 2, 0
2204, North, 6C, 6C, true, 3, 0
2205, North, 2C, 2C, true, 1, 0
2206, North, 5C, 5C, true, 3, 0
2207, North, 2C, 2C, true, 1, 0
2208, North, 3C, 3C, true, 6, 2
2209, North, 5C, 5C, true, 1, 0
2210, North, 4C, 4C, true, 3, 0
2211, North, 8C, 8C, true, 3, 0
2212, North, 2C, 2C, true, 1, 0
2213, North, 3C, 3C, true, 4, 0
2214, North, 4C, 4C, true, 2, 0
2215, North, 7C, 7C, true, 3, 0
2216, North, 4C, 4C, true, 4, 0
2217, North, 4C, 4C, true, 3, 0
2218, North, 5C, 5C, true, 3, 0
2219, North, 2C, 2C, true, 1, 0
2220, North, 7C, 7C, true, 3, 1
2221, North, 2C, 2C, true, 1, 0
2222, North, 3C, 3C, true, 3, 0
2223, North, 2C, 2C, true, 1, 0
2224, North, 2C, 2C, true, 1, 0
2225, North, 5C, 5C, true, 3, 0
2226, North, 2C, 2C, true, 1, 0
2227, North, 8C, 8C, true, 2, 0
2228, North, 3C, 3C, true, 3, 0
2229, North, 2C, 2C, true, 1, 0
2230, North, 3C, 3C, true, 6, 0
2231, North, 10C, 10C, true, 3, 0
2232, North, 3C, 3C, true, 2, 0
2233, North, 2C, 2C, true, 1, 0
2234, North, 2C, 2C, true, 1, 0
2235, North, 2C, 2C, true, 1, 0
2236, North, QC, QC, true, 1, 0
2237, North, 4C, 4C, true, 3, 0
2238, North, 6C, 6C, true, 4, 0
2239, North, 2C, 2C, true, 1, 0
2240, North, 4C, 4C, true, 4, 0
2241, North, 4C, 4C, true, 4, 0
2242, North, 7C, 7C, true, 4, 0
2243, North, 4C, 4C, true, 4, 0
2244, North, 10C, 10C, true, 3, 0
2245, North, 2C, 2C, true, 1, 0
2246, North, 2C, 2C, true, 1, 0
2247, North, 3C, 3C, true, 3, 0
2248, North, 4C, 4C, true, 3, 0
2249, North, 4C, 4C, true, 6, 1
2250, North, 3C, 3C, true, 4, 0
2251, North, 2C, 2C, true, 1, 0
2252, North, 7C, 7C, true, 3, 0
2253, North, 3C, 3C, true, 3, 0
2254, North, 5C, 5C, true, 5, 1
2255, North, 4C, 4C, true, 2, 0
2256, North, 4C, 4C, true, 3, 0
2257, North, 2C, 2C, true, 1, 0
2258, North, 2C, 2C, true, 1, 0
2259, North, 2C, 2C, true, 1, 0
2260, North, 3C, 3C, true, 2, 0
2261, North, 2C, 2C, true, 1, 0
2262, North, 4C, 4C, true, 2, 0
